activation,position,zone,item,sentence_no,word,retrieve_wh,reanalysis,agreeing_actions,matching_fs,fan_size,record_RTs
3.652139255946186,1,1,1,1,if,None,no,2.0,7.0,14944.714285714286,yes
11.262080434369658,2,2,1,1,you,None,no,3.0,8.833333333333334,16600.447214076245,yes
9.744995080776414,3,3,1,1,were,None,yes,2.0,16.5,9172.363636363636,yes
13.190289758499542,4,4,1,1,to,None,no,4.0,10.0,19403.6,yes
11.058083251557667,5,5,1,1,journey,None,no,3.0,9.0,16145.333333333334,yes
10.057995684168278,6,6,1,1,to,None,no,3.0,8.0,17405.875,yes
10.972665952707446,7,7,1,1,the,None,no,3.0,9.0,16067.666666666666,yes
7.076079470595245,8,8,1,1,north,None,yes,9.0,10.666666666666666,54066.375,yes
11.441753467736644,9,9,1,1,of,None,no,3.0,9.0,15833.444444444445,yes
7.645761634564669,10,10,1,1,england,None,yes,2.0,13.5,10546.666666666666,yes
6.952299812580769,10,10,1,1,",",None,no,2.0,13.0,11238.23076923077,no
13.885626705833326,11,11,1,1,you,None,no,3.0,10.833333333333334,13897.476833976834,yes
13.451409094632439,12,12,1,1,would,None,no,3.0,10.333333333333334,13951.16129032258,yes
10.474468152901313,13,13,1,1,come,None,no,3.0,8.333333333333334,16930.92,yes
8.940399550074513,14,14,1,1,to,None,no,3.0,7.0,14927.714285714286,yes
11.355988990151598,15,15,1,1,a,None,no,3.0,9.0,15761.0,yes
11.160510171908104,16,16,1,1,valley,None,yes,2.6153846153846154,15.205128205128206,12820.601027379482,yes
16.606363844886186,17,17,1,1,that,None,no,3.0,12.333333333333334,9775.908830128204,yes
15.912279564634238,18,18,1,1,is,None,no,3.0,11.0,12976.90909090909,yes
10.815067188887706,19,19,1,1,surrounded,None,yes,2.6666666666666665,8.944444444444445,14675.62969924812,yes
9.052965163722604,20,20,1,1,by,None,no,3.0,7.0,20200.0,yes
2.8211682738350805,21,21,1,1,moors,None,no,1.0,21.0,6755.476190476191,yes
6.666777999134934,22,22,1,1,as,None,no,2.0,12.0,11048.583333333334,yes
