position,word,freq,function,item,activation
1,if,266745.375,IN,1,3.19843721727396
2,you,782544.375,PRP,1,4.27528215619628
3,were,363186.0,VBD,1,3.507260646608495
4,to,2880389.25,TO,1,5.578807643890024
5,journey,5465.25,VB,1,-0.6979358896911749
6,to,2880389.25,TO,1,5.578807643890024
7,the,6961417.875,DT,1,6.461418845027831
8,north,24328.125,NNP,1,0.8005056637105347
9,of,3309513.75,IN,1,5.717712269505563
10,england,26066.25,NNP,1,0.8696705294350685
11,",",3.375,",",1,-8.553019211179882
12,you,782544.375,PRP,1,4.27528215619628
13,would,287097.75,MD,1,3.2720158482858137
14,come,78215.625,VB,1,1.9704115774999404
15,to,2880389.25,TO,1,5.578807643890024
16,a,2419745.625,DT,1,5.404505368361806
17,valley,5281.875,NN,1,-0.7322952680279591
18,that,1254804.75,WDT,1,4.747640315532376
19,is,1123725.375,VBZ,1,4.637272887394371
20,surrounded,2738.25,VBN,1,-1.3931295154211454
21,by,577212.75,IN,1,3.9708063601786745
22,moors,724.5,NNS,1,-2.7362184926134994
23,as,582511.5,RB,1,3.9799489740033183
24,high,43794.0,JJ,1,1.3895644928191249
25,as,582511.5,IN,1,3.9799489740033183
26,mountains,3186.0,NNS,1,-1.240617654142484
27,.,24.75,.,1,-6.2500316988811715
1,it,1225753.875,PRP,2,4.724208657999368
2,is,1123725.375,VBZ,2,4.637272887394371
3,in,2118706.875,IN,2,5.2716165665251795
4,this,521145.0,DT,2,3.868574026404361
5,valley,5281.875,NN,2,-0.7322952680279591
6,where,122198.625,WRB,2,2.417113510595316
7,you,782544.375,PRP,2,4.27528215619628
8,would,287097.75,MD,2,3.2720158482858137
9,find,47589.75,VB,2,1.4728192347779459
10,the,6961417.875,DT,2,6.461418845027831
11,city,26152.875,NN,2,0.872983793509351
12,of,3309513.75,IN,2,5.717712269505563
13,bradford,1352.25,NNP,2,-2.104634769639082
14,",",3.375,",",2,-8.553019211179882
15,where,122198.625,WRB,2,2.417113510595316
16,once,30994.875,RB,2,1.0432169028438467
17,a,2419745.625,DT,2,5.404505368361806
18,thousand,11669.625,CD,2,0.06375890653027148
19,spinning,967.5,JJ,2,-2.4432374109344948
20,jennies,12.375,NNS,2,-7.004744284102941
21,that,1254804.75,WDT,2,4.747640315532376
22,hummed,150.75,VBD,2,-4.340769102479082
23,and,3018237.75,CC,2,5.625565196146023
24,clattered,190.125,VBD,2,-4.099884626409988
25,spun,781.875,VBD,2,-2.659209649083186
26,wool,2005.875,NN,2,-1.706895145100264
27,into,183903.75,IN,2,2.8262649157595674
28,money,42037.875,NN,2,1.348556074933177
29,for,958188.375,IN,2,4.477855445776505
30,the,6961417.875,DT,2,6.461418845027831
31,long-bearded,1.125,JJ,2,-9.928453736910233
32,mill,3934.125,NN,2,-1.0284157466252724
33,owners,4221.0,NNS,2,-0.9576132808491739
34,.,24.75,.,2,-6.2500316988811715
1,that,1254804.75,IN,3,4.747640315532376
2,all,295252.875,DT,3,3.300044068279032
3,mill,3934.125,NN,3,-1.0284157466252724
4,owners,4221.0,NNS,3,-0.9576132808491739
5,were,363186.0,VBD,3,3.507260646608495
6,generally,13014.0,RB,3,0.17318103492027975
7,busy,5769.0,JJ,3,-0.6435602155775995
8,as,582511.5,IN,3,3.9799489740033183
9,beavers,59.625,NNS,3,-5.306614707262081
10,and,3018237.75,CC,3,5.625565196146023
11,quite,46316.25,RB,3,1.4456541894376214
12,pleased,5749.875,VBN,3,-0.6469736665629524
13,with,733556.25,IN,3,4.210608759730691
14,themselves,26635.5,PRP,3,0.891318059418321
15,for,958188.375,IN,3,4.477855445776505
16,being,100201.5,VBG,3,2.218430998483182
17,so,238677.75,RB,3,3.0871752871511715
18,successful,12153.375,JJ,3,0.10452387607095594
19,and,3018237.75,CC,3,5.625565196146023
20,well,132141.375,JJ,3,2.4954193594567933
21,off,78936.75,RB,3,1.9796002383429108
22,was,1039471.875,VBD,3,4.559308638799121
23,known,29049.75,VBN,3,0.9782694824372536
24,to,2880389.25,TO,3,5.578807643890024
