TREE0_LABEL	TREE0_HEAD	TREE0_HEADPOS	TREE1_LABEL	TREE1_HEAD	TREE1_HEADPOS	TREE2_LABEL	TREE2_HEAD	TREE2_HEADPOS	TREE3_LABEL	TREE3_HEAD	ANTECEDENT_CARRIED	WORD_NEXT0_LEX	WORD_NEXT0_POS	WORD_NEXT1_LEX	WORD_NEXT1_POS	ACTION	ACTION_RESULT_LABEL	ACTION_PREV	FREQ	ACTIVATION
NOPOS	noword	 		 	 		 	 		 	NO	if	IN	you	PRP	shift	''		2	-8.947624483898506
IN	if	 	NOPOS	noword	 		 	 		 	NO	you	PRP	were	VBD	shift	''	shift	1	-9.294198074178478
PRP	you	 	IN	if	 	NOPOS	noword	 		 	NO	were	VBD	to	TO	reduce_unary	NP	shift	1	-9.294198074178478
NP	you	PRP	IN	if	 	NOPOS	noword	 		 	NO	were	VBD	to	TO	shift	''	reduce_unary	1	-9.294198074178478
VBD	be	 	NP	you	PRP	IN	if	 	NOPOS	noword	NO	to	TO	journey	VB	postulate_gap	*	shift	1	-9.294198074178478
-NONE-	*	 	VBD	be	 	NP	you	PRP	IN	if	NO	to	TO	journey	VB	reduce_unary	NP	postulate_gap	1	-9.294198074178478
NP	*	-NONE-	VBD	be	 	NP	you	PRP	IN	if	NO	to	TO	journey	VB	shift	''	reduce_unary	1	-9.294198074178478
TO	to	 	NP	*	-NONE-	VBD	be	 	NP	you	NO	journey	VB	to	TO	shift	''	shift	1	-9.294198074178478
VB	journey	 	TO	to	 	NP	*	-NONE-	VBD	were	NO	to	TO	the	DT	shift	''	shift	1	-9.294198074178478
TO	to	 	VB	journey	 	TO	to	 	NP	*	NO	the	DT	north	NNP	shift	''	shift	1	-9.294198074178478
DT	the	 	TO	to	 	VB	journey	 	TO	to	NO	north	NNP	of	IN	shift	''	shift	1	-9.294198074178478
NNP	north	 	DT	the	 	TO	to	 	VB	journey	NO	of	IN	england	NNP	reduce_unary	NP_BAR	shift	1	-9.294198074178478
NP_BAR	north	NNP	DT	the	 	TO	to	 	VB	journey	NO	of	IN	england	NNP	reduce_binary	NP	reduce_unary	1	-9.294198074178478
NP	north	NNP	TO	to	 	VB	journey	 	TO	to	NO	of	IN	england	NNP	shift	''	reduce_binary	1	-9.294198074178478
IN	of	 	NP	north	NNP	TO	to	 	VB	journey	NO	england	NNP	,	,	shift	''	shift	1	-9.294198074178478
NNP	england	 	IN	of	 	NP	north	NNP	TO	to	NO	,	,	you	PRP	reduce_unary	NP	shift	1	-9.294198074178478
NP	england	NNP	IN	of	 	NP	north	NNP	TO	to	NO	,	,	you	PRP	reduce_unary	PP_BAR	reduce_unary	1	-9.294198074178478
PP_BAR	of	IN	IN	of	 	NP	north	NNP	TO	to	NO	,	,	you	PRP	reduce_binary	PP	reduce_unary	1	-9.294198074178478
PP	of	IN	NP	north	NNP	TO	to	 	VB	journey	NO	,	,	you	PRP	reduce_unary	NP_BAR	reduce_binary	1	-9.294198074178478
NP_BAR	north	NNP	NP	north	NNP	TO	to	 	VB	journey	NO	,	,	you	PRP	reduce_binary	NP	reduce_unary	1	-9.294198074178478
NP	north	NNP	TO	to	 	VB	journey	 	TO	to	NO	,	,	you	PRP	reduce_unary	PP_BAR	reduce_binary	1	-9.294198074178478
PP_BAR	to	TO	TO	to	 	VB	journey	 	TO	to	NO	,	,	you	PRP	reduce_binary	PP	reduce_unary	1	-9.294198074178478
PP	to	TO	VB	journey	 	TO	to	 	NP	*	NO	,	,	you	PRP	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	journey	VB	VB	journey	 	TO	to	 	NP	*	NO	,	,	you	PRP	reduce_binary	VP	reduce_unary	1	-9.294198074178478
VP	journey	VB	TO	to	 	NP	*	-NONE-	VBD	were	NO	,	,	you	PRP	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	journey	VB	TO	to	 	NP	*	-NONE-	VBD	were	NO	,	,	you	PRP	reduce_binary	VP	reduce_unary	1	-9.294198074178478
VP	journey	VB	NP	*	-NONE-	VBD	be	 	NP	you	NO	,	,	you	PRP	reduce_unary	S_BAR	reduce_binary	1	-9.294198074178478
S_BAR	journey	VB	NP	*	-NONE-	VBD	be	 	NP	you	NO	,	,	you	PRP	reduce_binary	S	reduce_unary	1	-9.294198074178478
S	journey	VB	VBD	be	 	NP	you	PRP	IN	if	NO	,	,	you	PRP	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	journey	VB	VBD	be	 	NP	you	PRP	IN	if	NO	,	,	you	PRP	reduce_binary	VP	reduce_unary	1	-9.294198074178478
VP	journey	VB	NP	you	PRP	IN	if	 	NOPOS	noword	NO	,	,	you	PRP	reduce_unary	S_BAR	reduce_binary	1	-9.294198074178478
S_BAR	journey	VB	NP	you	PRP	IN	if	 	NOPOS	noword	NO	,	,	you	PRP	reduce_binary	S	reduce_unary	1	-9.294198074178478
S	journey	VB	IN	if	 	NOPOS	noword	 		 	NO	,	,	you	PRP	reduce_unary	SBAR_BAR	reduce_binary	1	-9.294198074178478
SBAR_BAR	if	IN	IN	if	 	NOPOS	noword	 		 	NO	,	,	you	PRP	reduce_binary	SBAR	reduce_unary	2	-8.947624483898506
SBAR	if	IN	NOPOS	noword	 		 	 		 	NO	,	,	you	PRP	shift	''	reduce_binary	2	-8.947624483898506
,	,	 	SBAR	if	IN	NOPOS	noword	 		 	NO	you	PRP	would	MD	shift	''	shift	1	-9.294198074178478
PRP	you	 	,	,	 	SBAR	if	IN	NOPOS	noword	NO	would	MD	come	VB	reduce_unary	NP	shift	1	-9.294198074178478
NP	you	PRP	,	,	 	SBAR	if	IN	NOPOS	noword	NO	would	MD	come	VB	shift	''	reduce_unary	1	-9.294198074178478
MD	would	 	NP	you	PRP	,	,	 	SBAR	if	NO	come	VB	to	TO	shift	''	shift	1	-9.294198074178478
VB	come	 	MD	would	 	NP	you	PRP	,	,	NO	to	TO	a	DT	shift	''	shift	1	-9.294198074178478
TO	to	 	VB	come	 	MD	would	 	NP	you	NO	a	DT	valley	NN	shift	''	shift	1	-9.294198074178478
DT	a	 	TO	to	 	VB	come	 	MD	would	NO	valley	NN	that	WDT	shift	''	shift	1	-9.294198074178478
NN	valley	 	DT	a	 	TO	to	 	VB	come	NO	that	WDT	is	VBZ	reduce_unary	NP_BAR	shift	1	-9.294198074178478
NP_BAR	valley	NN	DT	a	 	TO	to	 	VB	come	NO	that	WDT	is	VBZ	reduce_binary	NP	reduce_unary	1	-9.294198074178478
NP	valley	NN	TO	to	 	VB	come	 	MD	would	NO	that	WDT	is	VBZ	shift	''	reduce_binary	1	-9.294198074178478
WDT	that	 	NP	valley	NN	TO	to	 	VB	come	NO	is	VBZ	surrounded	VBN	reduce_unary	WHNP	shift	1	-9.294198074178478
WHNP	that	WDT	NP	valley	NN	TO	to	 	VB	come	YES	is	VBZ	surrounded	VBN	postulate_gap	*t*	reduce_unary	1	-9.294198074178478
-NONE-	*t*	 	WHNP	that	WDT	NP	valley	NN	TO	to	NO	is	VBZ	surrounded	VBN	reduce_unary	NP	postulate_gap	1	-9.294198074178478
